Treatments,Time,G,A,GG,AA,GA/AG,GAG/GGA/AGG,GGG,GGGG,AAG/AGA/GAA,AAA
2-70-100,0,0.07,0.1,0,0,0,0,0,0,0,0
2-80-0,0,0.08,0,0,0,0,0,0,0,0,0
2-80-10,0,0.08,0.01,0,0,0,0,0,0,0,0
2-80-20,0,0.08,0.02,0,0,0,0,0,0,0,0
2-80-30,0,0.08,0.03,0,0,0,0,0,0,0,0
2-80-40,0,0.08,0.04,0,0,0,0,0,0,0,0
2-80-50,0,0.08,0.05,0,0,0,0,0,0,0,0
2-80-60,0,0.08,0.06,0,0,0,0,0,0,0,0
2-80-70,0,0.08,0.07,0,0,0,0,0,0,0,0
2-80-80,0,0.08,0.08,0,0,0,0,0,0,0,0
2-80-90,0,0.08,0.09,0,0,0,0,0,0,0,0
2-80-100,0,0.08,0.1,0,0,0,0,0,0,0,0
2-90-0,0,0.09,0,0,0,0,0,0,0,0,0
2-90-10,0,0.09,0.01,0,0,0,0,0,0,0,0
2-90-20,0,0.09,0.02,0,0,0,0,0,0,0,0
2-90-30,0,0.09,0.03,0,0,0,0,0,0,0,0
2-90-40,0,0.09,0.04,0,0,0,0,0,0,0,0
2-90-50,0,0.09,0.05,0,0,0,0,0,0,0,0
2-90-60,0,0.09,0.06,0,0,0,0,0,0,0,0
2-90-70,0,0.09,0.07,0,0,0,0,0,0,0,0
2-90-80,0,0.09,0.08,0,0,0,0,0,0,0,0
2-90-90,0,0.09,0.09,0,0,0,0,0,0,0,0
2-90-100,0,0.09,0.1,0,0,0,0,0,0,0,0
2-100-0,0,0.1,0,0,0,0,0,0,0,0,0
2-100-10,0,0.1,0.01,0,0,0,0,0,0,0,0
2-100-20,0,0.1,0.02,0,0,0,0,0,0,0,0
2-100-30,0,0.1,0.03,0,0,0,0,0,0,0,0
2-100-40,0,0.1,0.04,0,0,0,0,0,0,0,0
2-100-50,0,0.1,0.05,0,0,0,0,0,0,0,0
2-100-60,0,0.1,0.06,0,0,0,0,0,0,0,0
2-100-70,0,0.1,0.07,0,0,0,0,0,0,0,0
2-100-80,0,0.1,0.08,0,0,0,0,0,0,0,0
2-100-90,0,0.1,0.09,0,0,0,0,0,0,0,0
2-100-100,0,0.1,0.1,0,0,0,0,0,0,0,0
2-0-0,1,0,0,0,0,0,0,0,0,0,0
2-0-10,1,0,0.01,0,0,0,0,0,0,0,0
2-0-20,1,0,0.02,0,0,0,0,0,0,0,0
2-0-30,1,0,0.03,0,0,0,0,0,0,0,0
2-0-40,1,0,0.04,0,0,0,0,0,0,0,0
2-0-50,1,0,0.05,0,0,0,0,0,0,0,0
2-0-60,1,0,0.06,0,0,0,0,0,0,0,0
2-0-70,1,0,0.07,0,0,0,0,0,0,0,0
2-0-80,1,0,0.08,0,0,0,0,0,0,0,0
2-0-90,1,0,0.09,0,0,0,0,0,0,0,0
2-0-100,1,0,0.1,0,0,0,0,0,0,0,0
2/10/2000,1,0.01,0,0,0,0,0,0,0,0,0
2/10/2010,1,0.01,0.01,0,0,0,0,0,0,0,0
2/10/2020,1,0.01,0.02,0,0,0,0,0,0,0,0
2/10/1930,1,0.01,0.03,0,0,0,0,0,0,0,0
2/10/1940,1,0.01,0.04,0,0,0,0,0,0,0,0
2/10/1950,1,0.01,0.05,0,0,0,0,0,0,0,0
2/10/1960,1,0.01,0.06,0,0,0,0,0,0,0,0
2/10/1970,1,0.01,0.07,0,0,0,0,0,0,0,0
2/10/1980,1,0.01,0.08,0,0,0,0,0,0,0,0
2/10/1990,1,0.01,0.09,0,0,0,0,0,0,0,0
2-10-100,1,0.01,0.1,0,0,0,0,0,0,0,0
2/20/2000,1,0.02,0,0,0,0,0,0,0,0,0
2/20/2010,1,0.02,0.01,0,0,0,0,0,0,0,0
2/20/2020,1,0.02,0.02,0,0,0,0,0,0,0,0
2/20/1930,1,0.02,0.03,0,0,0,0,0,0,0,0
