Treatments,Time,G,A,GG,AA,GA/AG,GGA/AGG/GAG,GGG,GGGG,AAG/AGA,AAA
17,4,0.0450725,0.0329554,0.00306263,0.00137109,0.00220145,0.000225334,0.000508617,7.98E-05,0.000305206,8.84E-05
18,0,0.081,0.017,0,0,0,0,0,0,0,0
18,1,0.0640159,0.0147331,0.00599458,0.000267174,0.00138943,0.000192552,0.00084796,0.000151932,6.87E-05,4.37E-06
18,2,0.0628112,0.0146988,0.00590581,0.000272819,0.00137456,0.000195441,0.00118165,0.000246001,8.28E-05,6.65E-06
18,3,0.0624371,0.0147023,0.00587711,0.000274003,0.00136571,0.000192893,0.00128662,0.000278281,8.42E-05,7.53E-06
18,4,0.0623521,0.0147078,0.00584973,0.000274007,0.00135893,0.000193031,0.00132113,0.000288942,8.43E-05,7.87E-06
19,0,0.002,0.046,0,0,0,0,0,0,0,0
19,1,0.00186133,0.0413645,5.14E-06,0.00210227,0.000112161,4.45E-07,2.06E-08,1.01E-10,1.53E-05,9.59E-05
19,2,0.00185603,0.0411809,5.19E-06,0.00211542,0.000113579,4.76E-07,3.19E-08,1.88E-10,1.90E-05,0.000145427
19,3,0.00185569,0.041133,5.19E-06,0.00211186,0.000113424,4.78E-07,3.60E-08,2.24E-10,1.95E-05,0.000163479
19,4,0.00185576,0.0411171,5.18E-06,0.00211004,0.000113298,4.79E-07,3.75E-08,2.37E-10,1.95E-05,0.000170015
20,0,0.046,0.042,0,0,0,0,0,0,0,0
20,1,0.0384283,0.0359482,0.0021729,0.00159149,0.00201914,0.00016767,0.000183285,1.93E-05,0.000244468,6.44E-05
20,2,0.0380615,0.0357231,0.00217371,0.00160355,0.00201817,0.000173632,0.000266312,3.30E-05,0.000294881,9.61E-05
20,3,0.0379708,0.0356883,0.00216755,0.00160312,0.00200767,0.000173315,0.000295371,3.83E-05,0.000300625,0.000107738
20,4,0.0379335,0.0356755,0.0021683,0.00160404,0.00200597,0.000172784,0.000305584,4.02E-05,0.000300826,0.000112
21,0,0.048,0.036,0,0,0,0,0,0,0,0
21,1,0.0401936,0.0311196,0.00237419,0.00119221,0.00183021,1.59E-04,2.09E-04,2.30E-05,0.000191221,4.15E-05
21,2,0.039794,0.0309485,0.00237415,0.00120394,0.00182931,1.64E-04,3.04E-04,3.93E-05,0.000231404,6.23E-05
21,3,0.0396868,0.0309239,0.00236836,0.00120467,0.00182064,1.64E-04,3.36E-04,4.56E-05,0.000236024,7.00E-05
21,4,0.0396473,0.0309167,0.0023677,0.00120518,0.00181818,1.64E-04,3.48E-04,4.79E-05,0.000236265,7.29E-05
22,0,0.067,0.05,0,0,0,0,0,0,0,0
22,1,0.0527452,0.0411067,0.00409204,0.00208514,0.00317245,0.000365034,0.000480068,7.05E-05,0.000445839,9.79E-05
22,2,0.0519895,0.0408066,0.0040537,0.00209629,0.00314133,0.00037092,0.000676321,0.000115762,0.000527904,0.000144264
22,3,0.0517616,0.040754,0.00404564,0.00209956,0.00312622,0.000366871,0.000741166,0.00013215,0.000535072,0.000161208
22,4,0.0517028,0.0407475,0.00403597,0.00209896,0.00311571,0.00036646,0.000763412,0.000137854,0.000534995,0.000167461
23,0,0.012,0.044,0,0,0,0,0,0,0,0
23,1,0.0109028,0.039181,0.000175829,0.0018872,0.000622785,1.45E-05,4.15E-06,1.20E-07,8.08E-05,8.19E-05
23,2,0.0108653,0.0389869,0.000177617,0.00189905,0.000629093,1.54E-05,6.33E-06,2.19E-07,9.96E-05,0.000123764
23,3,0.010864,0.0389518,0.00017693,0.00189225,0.000626262,1.56E-05,7.13E-06,2.60E-07,0.000102258,0.000139114
23,4,0.0108603,0.0389241,0.000177571,0.00189707,0.00062794,1.55E-05,7.42E-06,2.76E-07,0.000102358,0.000144559
24,0,0.004,0.068,0,0,0,0,0,0,0,0
24,1,0.00359275,0.058376,1.92E-05,0.00418598,0.000304186,2.36E-06,1.51E-07,1.44E-09,5.95E-05,0.000275475
24,2,0.00357673,0.0579539,1.93E-05,0.00418253,0.000306532,2.49E-06,2.29E-07,2.61E-09,7.25E-05,0.000409046
24,3,0.00357505,0.0578143,1.93E-05,0.00418013,0.000306637,2.48E-06,2.58E-07,3.09E-09,7.39E-05,0.000456138
24,4,0.00357575,0.0577861,1.93E-05,0.00416922,0.000305775,2.49E-06,2.68E-07,3.28E-09,7.41E-05,0.000472989
