Treatments,Time,G,A,GG,AA,GA/AG (AAA),GGA/AGG/GAG,GGG,GGGG,AAG/AGA,AAA
100-50,2,0.074100748,0.037533258,0.004624399,9.18E-05,0.002409345,0.000186396,0.000265474,0.000113223,0.000503101,0
100-50,3,0.079655759,0.038186783,0.004570554,9.46E-05,0.00235502,0.000187008,0.000239195,0.000107723,0.000557799,0
100-50,4,0.080859556,0.039983637,0.004369762,0.000109839,0.002324028,0.00017675,0.000209546,0.000114936,0.000473924,0
90-90,0,0.080965971,0.093958073,0.00025277,1.15E-05,7.38E-05,4.74E-05,1.17E-05,3.61E-05,8.17E-05,0
90-90,1,0.074259711,0.087514394,0.003384891,0.000261026,0.003470891,0.000249793,0.000213112,4.54E-05,0.000507208,0
90-90,2,0.06515269,0.078962533,0.003053734,0.000183019,0.002963756,0.000220163,0.000161556,5.36E-05,0.000418678,0
90-90,3,0.078758321,0.091334293,0.003212996,0.000236652,0.003065102,0.000207801,0.000136687,4.91E-05,0.000433864,0
90-90,4,0.072534459,0.084794995,0.002950839,0.000194213,0.002896959,0.000190555,0.000114056,5.56E-05,0.000333487,0
50-100,0,0.050218791,0.111656077,0.000154372,4.66E-06,1.14E-05,5.18E-05,1.73E-05,4.22E-06,7.74E-05,0
50-100,1,0.035759099,0.097933358,0.001646957,0.000478692,0.003005267,0.000151881,6.42E-05,2.08E-05,0.000155159,0
50-100,2,0.033051449,0.084964897,0.001468989,0.000246532,0.002550979,0.000110644,4.69E-05,2.87E-05,0.000176597,0
50-100,3,0.035334477,0.095097534,0.001410498,0.000202784,0.002421317,0.000102898,3.37E-05,3.49E-05,0.000225981,0
50-100,4,0.039011927,0.103351729,0.001475452,0.000186672,0.002684062,0.000117176,3.60E-05,4.51E-05,0.00020263,0
50-0,0,0.052783331,0.001880613,0.0000256,0,0.0000063,0,0.00000602,0,0,0
50-0,1,0.050187576,0.0000641,0.005507521,0,0,0,0.000418802,0.000152734,0,0
50-0,2,0.04628199,0.0000165,0.004835339,0,0,0,0.000330327,0.000130006,0,0
50-0,3,0.055679552,0.0000449,0.004982909,0,0.0000118,0,0.000348637,0.000129692,0,0
50-0,4,0.049872103,0.0000246,0.004144313,0,0.00000144,0,0.000189806,0.0000754,0,0
0-50,0,0.000118856,0.053404214,0,0.0000236,0,0.00000633,0.00000518,0,0,0.0000164
0-50,1,0.0000382,0.056478345,0,0.002662565,0,0,0.00000614,0,0,0.0000553
0-50,2,0.000244189,0.079847182,0.00000325,0.003807064,0,0.00000442,0.00000536,0,0,0.000061
0-50,3,0.0000632,0.088361516,0,0.003580148,0,0,0.00000417,0.00000482,0,0.0000486
0-50,4,0.0000195,0.070386608,0.0000026,0.002068302,0,0.0000177,0.0000047,0,0,0.0000302
25-25,0,0.026387759,0.026114079,0.0000102,0,0.0000085,0,0.00000527,0,0,0
25-25,1,0.018676927,0.021563551,0.001375593,0.000480087,0.000818427,0.00016104,0.0000503,0.0000151,0.000125471,0
25-25,2,0.028594796,0.036124804,0.001587939,0.001035122,0.001413189,0.000294769,0.0000688,0.0000196,0.000145597,0
25-25,3,0.030899702,0.039209624,0.001673784,0.001056015,0.001489807,0.00027921,0.0000519,0.000018,0.000145481,0
25-25,4,0.027861998,0.033510115,0.001385875,0.00070095,0.001129296,0.000180689,0.0000414,0.0000115,0.000113383,0
