Param name,Param value,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22
k1,5.630013277476727,0.0070818969923938544,0.004759870862241517,0.0001577217950898378,0.00012628598712591564,0.0052223180633375775,0.003630948635379752,-0.020964810217101202,-0.008407424029540197,-0.001315871517528293,-0.0003686410230798967,-0.004971775683154295,-0.0013665258192074245,0.0005379082545866581,-1.1491810772477693e-05,0.016927620962898102,0.006559878691041418,-0.011258936477297032,-0.002450389393277444,0.004577252351571974,0.0012079284170710119,-9.808416090186513e-06,-4.040671436921564e-06
k2,3.739134628625172,0.004759870862241517,0.003206533142876608,0.00012949872475077252,0.0001041784500906778,0.0030793832251700707,0.0021390603668087664,-0.014367734866605867,-0.005864598087373886,-0.0008869460304170998,-0.0002492789299119503,-0.0033376679807290053,-0.0009192788306767131,0.00036212498095223715,-6.328299361793936e-06,0.012079907085143237,0.004811414283730359,-0.007198563617235576,-0.0015673732945261508,0.0028505762695858394,0.0007513464909207823,-8.645218819719698e-06,-3.7753228514334146e-06
k3,4.072522901724496,0.0001577217950898378,0.00012949872475077252,0.005790047762804854,0.004722268716193535,-0.013554627185564662,-0.009346450608447446,0.006155990483804307,0.0015378052143252272,-7.148307109360544e-05,-7.698187722834164e-06,-0.0005599248181245679,-0.00010744275730863867,0.00021384776222267032,-2.972808470832404e-05,0.0009967421708415645,0.0016670568651590758,0.030947347824953494,0.006487773007470115,-0.02332085386776207,-0.005842809369267435,-0.0004223000424974949,-0.0002013801277417389
k4,3.2458732192469353,0.00012628598712591564,0.0001041784500906778,0.004722268716193535,0.003858328202438988,-0.010840929039418818,-0.007484356797482733,0.005175214434735785,0.0013083366919889661,-5.723665592965435e-05,-6.380821331204443e-06,-0.00044369489720646636,-8.560110948453061e-05,0.00016752948376546242,-2.3357593983897265e-05,0.00039462375246624614,0.0011855147012569548,0.025028861637311772,0.005263873887157718,-0.018866294471558746,-0.004752735688248703,-0.0003496143163363133,-0.00016624847848836262
k5,8.248932949367612,0.0052223180633375775,0.0030793832251700707,-0.013554627185564662,-0.010840929039418818,0.2849062597444946,0.1968067226938897,0.1360122545851256,0.08788888403077284,-0.00035880403851573054,-0.00015465028669967105,0.0010970836788563123,8.056760209956037e-05,-0.002404356659028953,-6.226365166741653e-05,-0.3582877316023787,-0.18734221025910935,-0.16678015366097454,-0.03738412891491896,0.11592370836561869,0.031043347241957935,0.001058692019149399,0.0005584824626437234
k6,5.651555909409636,0.003630948635379752,0.0021390603668087664,-0.009346450608447446,-0.007484356797482733,0.1968067226938897,0.13603133873707923,0.0929200033828323,0.06071022747881756,-0.0002532577447152989,-0.00010744274247153466,0.000713657424969948,4.7065396324795706e-05,-0.0016440211154089405,-4.520414207685898e-05,-0.2440322406068237,-0.12832529054022787,-0.11288454014375413,-0.025469982497371896,0.07898883234834013,0.021332219411159453,0.0007336927460901606,0.00038671784025342886
k7,5.7495454038406475,-0.020964810217101202,-0.014367734866605867,0.006155990483804307,0.005175214434735785,0.1360122545851256,0.0929200033828323,0.6521499490230204,0.2979586926876878,0.002367032256510358,0.0012035724808899864,-0.011447450897482649,-0.0013600869239155746,0.01171063882267679,-0.0004524970018766283,-1.276538275026792,-0.5770786729817665,0.11563500386241499,0.025021132197893294,-0.06983873709711927,-0.018273508543671817,-0.0004366454305346348,-0.00019658318344033994
k8,3.163686545559809,-0.008407424029540197,-0.005864598087373886,0.0015378052143252272,0.0013083366919889661,0.08788888403077284,0.06071022747881756,0.2979586926876878,0.1418694746972777,0.000895969155645878,0.0004926591291506055,-0.006042248154540098,-0.0008724543044531781,0.005401461204926992,-0.00018119893759639655,-0.5861293215815075,-0.27082805385061515,0.04295910844847134,0.008344863435019676,-0.02366703117869282,-0.0052594995453017586,-9.535009483758843e-05,-3.520028603869388e-05
k9,4.108666901959826,-0.001315871517528293,-0.0008869460304170998,-7.148307109360544e-05,-5.723665592965435e-05,-0.00035880403851573054,-0.0002532577447152989,0.002367032256510358,0.000895969155645878,0.0003808143639643957,0.00010408664563364849,0.0028450856018878467,0.0007915530404662594,-0.001168951854461646,-0.00011444867032432788,0.004190790964677127,0.00207067128212612,0.002321860050137843,0.0005147105579057336,-0.0006843226595782954,-0.0001869790335958629,5.388756673106686e-06,2.6037376925363964e-06
k10,1.034030741653065,-0.0003686410230798967,-0.0002492789299119503,-7.698187722834164e-06,-6.380821331204443e-06,-0.00015465028669967105,-0.00010744274247153466,0.0012035724808899864,0.0004926591291506055,0.00010408664563364849,3.2900852962692366e-05,0.0007174017006375504,0.00021679431659718494,-0.0002841915735835755,-4.473742719371751e-05,6.599253150151973e-05,9.228367714226691e-05,0.000732720506968595,0.00016744450694841832,-0.00027545547441284177,-7.43480566930016e-05,9.047494105777052e-07,3.9594777957873503e-07
